(200.0, 0.0)
(190.2113032590307, 61.803398874989476)
(161.80339887498948, 117.55705045849463)
(117.55705045849464, 161.80339887498945)
(61.80339887498949, 190.2113032590307)
(1.2246467991473532e-14, 200.0)
(-61.80339887498947, 190.21130325903073)
(-117.5570504584946, 161.80339887498948)
(-161.80339887498945, 117.55705045849464)
(-190.2113032590307, 61.803398874989504)
(-200.0, 2.4492935982947064e-14)
(-190.21130325903076, -61.80339887498938)
(-161.80339887498948, -117.5570504584946)
(-117.55705045849464, -161.80339887498945)
(-61.80339887498951, -190.2113032590307)
(-3.6739403974420595e-14, -200.0)
(61.80339887498945, -190.21130325903073)
(117.55705045849459, -161.8033988749895)
(161.80339887498945, -117.55705045849464)
(190.2113032590307, -61.803398874989526)
---
(80.90169943749473, -58.77852522924732)
(30.901699437494724, -95.10565162951536)
(-30.901699437494756, -95.10565162951535)
(-80.90169943749474, -58.7785252292473)
(-100.0, 1.2246467991473532e-14)
(-80.90169943749473, 58.77852522924732)
(-30.901699437494734, 95.10565162951536)
(30.901699437494745, 95.10565162951535)
(80.90169943749474, 58.778525229247315)
(100.0, 0.0)
---
